A_id,A_name,A_addr,A_by,B_id,B_name,B_addr,B_by,dist_m,name_sim,same_road_token
cmojjrr5300025p2ix2qjl7wr,그림나베 학동역점,서울 강남구 논현로132길 29,학동두루미,cmoqpq2i8000q11ms5xyxsx1m,학동수제비,서울특별시 강남구 논현로132길 29,회사장부,2.5,0.13,Y
cmol1yuoh006cqxm0ri66orjg,진전복삼계탕 본점,서울특별시 강남구 언주로133길 18 B1,학동봇,cmol1z0kb008pqxm0piig4rg3,물고기자리 강남점,언주로133길 18 2층,학동봇,9.2,0.13,Y
cmol1yuoh006cqxm0ri66orjg,진전복삼계탕 본점,서울특별시 강남구 언주로133길 18 B1,학동봇,cmol1ywmw007bqxm021gsm3o9,하남돼지집 학동역점,언주로133길 18,학동봇,7.7,0.11,Y
cmol1ywmw007bqxm021gsm3o9,하남돼지집 학동역점,언주로133길 18,학동봇,cmol1z0kb008pqxm0piig4rg3,물고기자리 강남점,언주로133길 18 2층,학동봇,2.7,0.11,Y
cmoqpq3dy001411msp93e4h3x,청와옥본사직영학동점,서울특별시 강남구 언주로 708 경원빌딩,회사장부,cmoqpqbcx003e11msdu3mc5ov,세븐일레븐 세관사거리점,서울특별시 강남구 언주로 708 경원빌딩,회사장부,0.0,0.09,Y
cmojgs32g000913bhdjkc3g4k,맛뜸최가뼈다귀해장국 논현1호점,서울 강남구 학동로37길 23,학동두루미,cmoqpq22e000j11ms4dh9zmxz,세븐일레븐 논현건설회관점,서울특별시 강남구 학동로37길 23,회사장부,4.9,0.07,Y
cmojgq67v000213bhf9gog8v9,천미향 논현직영점,서울 강남구 학동로37길 23,학동두루미,cmoqpq1mk000c11msk9a2tlo6,최가맛뜸,서울특별시 강남구 학동로37길 23,회사장부,2.7,0.00,Y
cmojjtenf00026xo3izgdt1g9,알펜호프,서울 강남구 학동로37길 19,학동두루미,cmoqpq0bp000211ms7k6ygk2f,화항풍국제무역（주） 알펜,서울특별시 강남구 학동로37길 19,회사장부,1.8,0.00,Y
cmol1yi9p0008qxm0x1vbu650,우제홍초밥 학동역점,서울특별시 강남구 논현로131길 7 1층 우제홍 초밥,학동봇,cmol1z65y00bhqxm0fqriyfmh,학동나주곰탕,논현로131길 7,학동봇,6.9,0.00,Y
cmol1ym500026qxm0jgjhfxqj,라몬,언주로134길 24 2층,학동봇,cmol1z5u400bcqxm04ga4xuee,카이카츠 논현점,언주로134길 24 1층 카이카츠,학동봇,3.1,0.00,Y
cmol1yniy002vqxm0dfc7l4qo,레몬그라스타이 강남구청점,학동로 338 SB111호,학동봇,cmol1z96r00d0qxm0o187k49m,오가고,학동로 338 강남파라곤 L층 오가고,학동봇,4.6,0.00,Y
cmol1yowm003kqxm0rpiqz7yk,영동포차나,언주로148길 14 나동 2층 208호,학동봇,cmol1yx6z007lqxm0lch6200k,본가설렁탕갈비촌,언주로148길 14 나동 1층 103호~106호,학동봇,12.8,0.00,Y
cmol1ys7f0058qxm0lbxul47m,투뿔 코리안 스테이크하우스,언주로148길 19,학동봇,cmol1yw2t0071qxm0xwxi6kjk,미진해산,언주로148길 19 1층 101호,학동봇,7.2,0.00,Y
cmol1ytjk005sqxm04p9qepll,루위,도산대로 211 동현빌딩 1F,학동봇,cmol1ytte005xqxm02r8wzcjh,명인등심 압구정본점,도산대로 211 동현빌딩 2층,학동봇,8.2,0.00,Y
cmol1z1ed0094qxm0dglw678v,365활새우 창우수산 강남본점,"학동로 338 강남파라곤 로비층 107호, 108호",학동봇,cmol1z96r00d0qxm0o187k49m,오가고,학동로 338 강남파라곤 L층 오가고,학동봇,17.6,0.00,Y
cmol1z2ie009oqxm0ka5cjxm3,논현1647 학동역점,언주로133길 31 지하1층,학동봇,cmoqpq6v1002511ms725scwdz,사랑채,서울특별시 강남구 언주로133길 31 BOB빌딩,회사장부,0.0,0.00,Y
cmol1z96r00d0qxm0o187k49m,오가고,학동로 338 강남파라곤 L층 오가고,학동봇,cmol1zch800ejqxm0m1hmx1xf,슬로우캘리 강남구청역점,학동로 338 강남파라곤 SB103호,학동봇,12.6,0.00,Y
cmoqpq1mk000c11msk9a2tlo6,최가맛뜸,서울특별시 강남구 학동로37길 23,회사장부,cmoqpq22e000j11ms4dh9zmxz,세븐일레븐 논현건설회관점,서울특별시 강남구 학동로37길 23,회사장부,0.0,0.00,Y
cmoqpq2i8000q11ms5xyxsx1m,학동수제비,서울특별시 강남구 논현로132길 29,회사장부,cmoqpqckg003r11msjdjux7yt,동천홍 학동점,서울특별시 강남구 논현로132길 29,회사장부,0.0,0.00,Y
cmoqpq4lg001h11msz4wqkgfv,논현삼겹,서울특별시 강남구 논현로136길 12,회사장부,cmoqpqea6004f11msocztydcd,맘스 맘,서울특별시 강남구 논현로136길 12,회사장부,0.0,0.00,Y
cmol1yr3u004oqxm04vjfiazk,js가든 청담점,도산대로 318 SB타워 C동 1층,학동봇,cmol1zc5e00eeqxm0waz42cqy,js가든 블랙,언주로150길 32,학동봇,35.0,0.57,
cmol1z0ua008uqxm0obc6j1vl,옥된장 강남구청점,언주로134길 9 1층,학동봇,cmol1z3m200a8qxm0k0igad6o,중화백반 강남구청점,언주로134길 6 1층,학동봇,37.9,0.56,
cmoqh9g6p0002vdu4kgoy7o95,영칼로리포케 서울학동역점,서울 강남구 학동로25길 11,Zen,cmoqpqd0d003y11msk9sxs6il,알로하포케 학동점,서울특별시 강남구 논현로131길 24,회사장부,48.7,0.50,
cmol1ymyx002lqxm08s6tpzj9,짬뽕지존 강남구청점,선릉로129길 16 1층,학동봇,cmol1zch800ejqxm0m1hmx1xf,슬로우캘리 강남구청역점,학동로 338 강남파라곤 SB103호,학동봇,43.2,0.45,
cmol1z6zp00bwqxm0tf4uuqnz,우천식육식당 강남구청점,서울특별시 강남구 선릉로127길 6 1층,학동봇,cmol1zapz00dpqxm09qjt45sj,한사발포차 강남구청점,선릉로129길 9-7 미림빌딩 1층 한사발포차,학동봇,28.4,0.45,
cmol1ymyx002lqxm08s6tpzj9,짬뽕지존 강남구청점,선릉로129길 16 1층,학동봇,cmol1yniy002vqxm0dfc7l4qo,레몬그라스타이 강남구청점,학동로 338 SB111호,학동봇,36.3,0.42,
cmol1ymyx002lqxm08s6tpzj9,짬뽕지존 강남구청점,선릉로129길 16 1층,학동봇,cmol1z9il00d5qxm0zdh3eqzt,포인비에트 강남구청역본점,선릉로129길 15 2층 포인비에트,학동봇,26.0,0.42,
cmojjrr5300025p2ix2qjl7wr,그림나베 학동역점,서울 강남구 논현로132길 29,학동두루미,cmol1z2ie009oqxm0ka5cjxm3,논현1647 학동역점,언주로133길 31 지하1층,학동봇,29.1,0.40,
cmol1z0ab008kqxm0g2nftpgc,두성전주콩나물국밥 강남구청역점,선릉로131길 12 1층,학동봇,cmol1z3w200adqxm0ef3m4sqz,보승회관 강남구청역점,선릉로131길 8 노벨빌딩 1층 102호,학동봇,21.8,0.40,
cmol1z0ab008kqxm0g2nftpgc,두성전주콩나물국밥 강남구청역점,선릉로131길 12 1층,학동봇,cmol1zazu00duqxm0rm8js1zy,동대문엽기떡볶이 강남구청역점,선릉로131길 8 노벨빌딩 1층 101호,학동봇,24.9,0.40,
cmol1z3w200adqxm0ef3m4sqz,보승회관 강남구청역점,선릉로131길 8 노벨빌딩 1층 102호,학동봇,cmol1z79i00c1qxm0l941lkj7,세광양대창 강남구청점,서울특별시 강남구 선릉로133길 8,학동봇,27.9,0.40,
cmol1yjxm0012qxm0vze5vnei,타카이 청담점,학동로53길 19 1층,학동봇,cmol1yl1m001mqxm04itelgob,코즈믹버거 청담점,학동로53길 20 1층,학동봇,15.5,0.38,
cmojjvmu6000910kc3b23qcn1,맘스터치LAB 학동역점,서울 강남구 학동로 215,학동두루미,cmol1ymf2002bqxm0e082sr55,롯데리아 학동역점,학동로 219 국제빌딩,학동봇,48.7,0.36,
cmojjvmu6000910kc3b23qcn1,맘스터치LAB 학동역점,서울 강남구 학동로 215,학동두루미,cmoqpq5ol001v11msz0pyxicv,이디야커피 학동역점,서울특별시 강남구 학동로 219 국제빌딩,회사장부,39.9,0.36,
cmol1z79i00c1qxm0l941lkj7,세광양대창 강남구청점,서울특별시 강남구 선릉로133길 8,학동봇,cmol1zazu00duqxm0rm8js1zy,동대문엽기떡볶이 강남구청역점,선릉로131길 8 노벨빌딩 1층 101호,학동봇,23.3,0.36,
cmojjrr5300025p2ix2qjl7wr,그림나베 학동역점,서울 강남구 논현로132길 29,학동두루미,cmoqpq2y5000x11ms1epkmv50,GS25학동제일점,서울특별시 강남구 학동로33길 7 태승빌딩,회사장부,39.6,0.33,
cmol1yi9p0008qxm0x1vbu650,우제홍초밥 학동역점,서울특별시 강남구 논현로131길 7 1층 우제홍 초밥,학동봇,cmoqpq7ax002c11msi635r08t,주식회사 써브웨이학동역점,서울특별시 강남구 학동로 171 삼익악기 빌딩,회사장부,32.2,0.33,
cmol1yjxm0012qxm0vze5vnei,타카이 청담점,학동로53길 19 1층,학동봇,cmol1z83e00cgqxm07rw7a0xg,심재 청담,선릉로135길 12 1층,학동봇,30.3,0.33,
cmol1z0ab008kqxm0g2nftpgc,두성전주콩나물국밥 강남구청역점,선릉로131길 12 1층,학동봇,cmol1z79i00c1qxm0l941lkj7,세광양대창 강남구청점,서울특별시 강남구 선릉로133길 8,학동봇,40.6,0.33,
cmoqpq2y5000x11ms1epkmv50,GS25학동제일점,서울특별시 강남구 학동로33길 7 태승빌딩,회사장부,cmoqpqckg003r11msjdjux7yt,동천홍 학동점,서울특별시 강남구 논현로132길 29,회사장부,41.7,0.33,
cmojguadx00022g4teuuovvca,이태리부대찌개 학동점,서울 강남구 학동로33길 15,학동두루미,cmoqpqckg003r11msjdjux7yt,동천홍 학동점,서울특별시 강남구 논현로132길 29,회사장부,36.9,0.30,
cmol1z2ie009oqxm0ka5cjxm3,논현1647 학동역점,언주로133길 31 지하1층,학동봇,cmoqpqckg003r11msjdjux7yt,동천홍 학동점,서울특별시 강남구 논현로132길 29,회사장부,28.5,0.30,
